SumBiomass,fecund_pop,Lp50_pop,num_pop,Finput,CVg,Fdi
1.12E+07,4.28E+08,289.5,5701,0.5,0,0.02
1.12E+07,4.49E+08,289.5,5664,0.5,0,0.02
1.17E+07,4.66E+08,289.5,5592,0.5,0,0.02
1.13E+07,4.66E+08,289.5,4946,0.5,0,0.02
8.42E+06,3.28E+08,289.5,4630,0.5,0,0.02
7.08E+06,2.54E+08,289.5,4253,0.5,0,0.02
6.73E+06,2.12E+08,289.5,3788,0.5,0,0.02
6.25E+06,2.01E+08,289.5,3402,0.5,0,0.02
5.67E+06,1.71E+08,289.5,3326,0.5,0,0.02
5.30E+06,1.72E+08,289.5,3200,0.5,0,0.02
4.76E+06,1.60E+08,289.5,3143,0.5,0,0.02
4.46E+06,1.42E+08,289.5,2969,0.5,0,0.02
4.35E+06,1.34E+08,289.5,2811,0.5,0,0.02
4.26E+06,1.36E+08,289.5,2760,0.5,0,0.02
4.07E+06,1.25E+08,289.5,2624,0.5,0,0.02
3.84E+06,1.08E+08,289.5,2436,0.5,0,0.02
3.73E+06,1.10E+08,289.5,2381,0.5,0,0.02
3.56E+06,1.04E+08,289.5,2325,0.5,0,0.02
3.50E+06,1.01E+08,289.5,2185,0.5,0,0.02
3.23E+06,9.90E+07,289.5,2161,0.5,0,0.02
3.05E+06,9.73E+07,289.5,2130,0.5,0,0.02
2.91E+06,9.27E+07,289.5,2061,0.5,0,0.02
2.99E+06,8.73E+07,289.5,1966,0.5,0,0.02
2.86E+06,8.72E+07,289.5,1879,0.5,0,0.02
2.67E+06,8.08E+07,289.5,1918,0.5,0,0.02
2.64E+06,7.56E+07,289.5,1917,0.5,0,0.02
2.67E+06,7.76E+07,289.5,1953,0.5,0,0.02
2.75E+06,8.11E+07,289.5,1869,0.5,0,0.02
2.73E+06,8.06E+07,289.5,1850,0.5,0,0.02
2.78E+06,9.20E+07,289.5,1931,0.5,0,0.02
2.74E+06,9.04E+07,289.5,1979,0.5,0,0.02
2.72E+06,8.34E+07,289.5,1925,0.5,0,0.02
2.76E+06,7.96E+07,289.5,1804,0.5,0,0.02
2.71E+06,7.35E+07,289.5,1891,0.5,0,0.02
2.78E+06,7.88E+07,289.5,1909,0.5,0,0.02
2.79E+06,8.84E+07,289.5,1913,0.5,0,0.02
2.79E+06,9.31E+07,289.5,1932,0.5,0,0.02
2.77E+06,9.10E+07,289.5,2026,0.5,0,0.02
2.83E+06,7.88E+07,289.5,1971,0.5,0,0.02
2.82E+06,7.80E+07,289.5,1863,0.5,0,0.02
2.69E+06,7.92E+07,289.5,1839,0.5,0,0.02
2.69E+06,7.67E+07,289.5,1844,0.5,0,0.02
2.70E+06,8.23E+07,289.5,1887,0.5,0,0.02
2.75E+06,8.87E+07,289.5,1929,0.5,0,0.02
2.57E+06,7.64E+07,289.5,1943,0.5,0,0.02
2.65E+06,8.41E+07,289.5,1948,0.5,0,0.02
2.74E+06,8.21E+07,289.5,1960,0.5,0,0.02
2.78E+06,8.33E+07,289.5,1922,0.5,0,0.02
2.79E+06,8.15E+07,289.5,1880,0.5,0,0.02
2.79E+06,8.41E+07,289.5,1820,0.5,0,0.02
2.65E+06,8.59E+07,289.5,1906,0.5,0,0.02
2.73E+06,8.53E+07,289.5,1895,0.5,0,0.02
2.60E+06,8.07E+07,289.5,1819,0.5,0,0.02
2.61E+06,7.99E+07,289.5,1810,0.5,0,0.02
2.53E+06,8.01E+07,289.5,1794,0.5,0,0.02
2.53E+06,7.27E+07,289.5,1854,0.5,0,0.02
2.60E+06,7.75E+07,289.5,1819,0.5,0,0.02
2.57E+06,8.08E+07,289.5,1827,0.5,0,0.02
2.58E+06,8.10E+07,289.5,1865,0.5,0,0.02
2.69E+06,8.02E+07,289.5,1900,0.5,0,0.02
2.65E+06,7.56E+07,289.5,1893,0.5,0,0.02
2.59E+06,7.21E+07,289.5,1856,0.5,0,0.02
2.64E+06,7.98E+07,289.5,1787,0.5,0,0.02
2.54E+06,7.67E+07,289.5,1776,0.5,0,0.02
2.61E+06,7.47E+07,289.5,1867,0.5,0,0.02
2.51E+06,7.15E+07,289.5,1889,0.5,0,0.02
2.61E+06,7.60E+07,289.5,1952,0.5,0,0.02
2.64E+06,7.71E+07,289.5,1949,0.5,0,0.02
2.58E+06,7.87E+07,289.5,1851,0.5,0,0.02
2.75E+06,8.24E+07,289.5,1837,0.5,0,0.02
2.67E+06,8.80E+07,289.5,1820,0.5,0,0.02
2.43E+06,7.39E+07,289.5,1866,0.5,0,0.02
2.50E+06,7.53E+07,289.5,1835,0.5,0,0.02
2.71E+06,7.43E+07,289.5,1870,0.5,0,0.02
2.71E+06,7.89E+07,289.5,1820,0.5,0,0.02
2.72E+06,7.89E+07,289.5,1796,0.5,0,0.02
2.62E+06,8.22E+07,289.5,1831,0.5,0,0.02
2.63E+06,7.92E+07,289.5,1807,0.5,0,0.02
2.63E+06,7.99E+07,289.5,1802,0.5,0,0.02
2.58E+06,7.36E+07,289.5,1798,0.5,0,0.02
2.58E+06,7.33E+07,289.5,1840,0.5,0,0.02
2.58E+06,7.70E+07,289.5,1826,0.5,0,0.02
2.75E+06,8.22E+07,289.5,1811,0.5,0,0.02
2.64E+06,7.77E+07,289.5,1796,0.5,0,0.02
2.56E+06,7.43E+07,289.5,1850,0.5,0,0.02
2.58E+06,6.81E+07,289.5,1816,0.5,0,0.02
2.66E+06,7.24E+07,289.5,1839,0.5,0,0.02
2.61E+06,7.71E+07,289.5,1814,0.5,0,0.02
2.67E+06,7.20E+07,289.5,1841,0.5,0,0.02
2.67E+06,7.85E+07,289.5,1825,0.5,0,0.02
2.67E+06,7.97E+07,289.5,1789,0.5,0,0.02
2.62E+06,8.32E+07,289.5,1811,0.5,0,0.02
2.68E+06,8.33E+07,289.5,1879,0.5,0,0.02
2.58E+06,7.97E+07,289.5,1844,0.5,0,0.02
2.61E+06,7.59E+07,289.5,1892,0.5,0,0.02
2.62E+06,7.73E+07,289.5,1889,0.5,0,0.02
2.64E+06,7.36E+07,289.5,1899,0.5,0,0.02
2.61E+06,7.20E+07,289.5,1919,0.5,0,0.02
2.80E+06,8.04E+07,289.5,1904,0.5,0,0.02
2.83E+06,9.18E+07,289.5,1922,0.5,0,0.02
2.76E+06,8.64E+07,289.5,1954,0.5,0,0.02
2.70E+06,7.68E+07,289.5,1924,0.5,0,0.02
2.84E+06,8.36E+07,289.5,1889,0.5,0,0.02
2.68E+06,8.52E+07,289.5,1839,0.5,0,0.02
2.56E+06,7.92E+07,289.5,1994,0.5,0,0.02
3.33E+06,1.11E+08,289.5,2385,0.5,0,0.02
3.77E+06,1.34E+08,289.5,2733,0.5,0,0.02
4.18E+06,1.41E+08,289.5,3051,0.5,0,0.02
4.96E+06,1.58E+08,289.5,3338,0.5,0,0.02
5.51E+06,1.97E+08,289.5,3665,0.5,0,0.02
6.31E+06,2.33E+08,289.5,4033,0.5,0,0.02
6.91E+06,2.58E+08,289.5,4231,0.5,0,0.02
7.57E+06,2.83E+08,289.5,4444,0.5,0,0.02
8.05E+06,3.02E+08,289.5,4641,0.5,0,0.02
8.24E+06,3.17E+08,289.5,4986,0.5,0,0.02
8.82E+06,3.32E+08,289.5,5161,0.5,0,0.02
9.49E+06,3.51E+08,289.5,5355,0.5,0,0.02
9.84E+06,3.80E+08,289.5,5571,0.5,0,0.02
1.04E+07,4.00E+08,289.5,5742,0.5,0,0.02
1.07E+07,4.24E+08,289.5,5799,0.5,0,0.02
1.12E+07,4.50E+08,289.5,5524,0.5,0,0.02
1.11E+07,4.54E+08,289.5,5498,0.5,0,0.02
1.08E+07,4.48E+08,289.5,5438,0.5,0,0.02
1.06E+07,4.19E+08,289.5,5624,0.5,0,0.02
1.07E+07,4.35E+08,289.5,5690,0.5,0,0.02
1.09E+07,4.44E+08,289.5,5587,0.5,0,0.02
1.09E+07,4.29E+08,289.5,5664,0.5,0,0.02
1.10E+07,4.42E+08,289.5,5718,0.5,0,0.02
1.12E+07,4.47E+08,289.5,5568,0.5,0,0.02
1.11E+07,4.43E+08,289.5,5419,0.5,0,0.02
1.08E+07,4.31E+08,289.5,5573,0.5,0,0.02
1.09E+07,4.42E+08,289.5,5692,0.5,0,0.02
1.09E+07,4.13E+08,289.5,5745,0.5,0,0.02
1.10E+07,4.24E+08,289.5,5806,0.5,0,0.02
1.11E+07,4.30E+08,289.5,5740,0.5,0,0.02
1.11E+07,4.18E+08,289.5,5797,0.5,0,0.02
1.13E+07,4.29E+08,289.5,5844,0.5,0,0.02
1.13E+07,4.38E+08,289.5,5856,0.5,0,0.02
1.14E+07,4.34E+08,289.5,5923,0.5,0,0.02
1.16E+07,4.53E+08,289.5,5720,0.5,0,0.02
1.16E+07,4.64E+08,289.5,5683,0.5,0,0.02
1.14E+07,4.55E+08,289.5,5557,0.5,0,0.02
1.11E+07,4.33E+08,289.5,5659,0.5,0,0.02
1.10E+07,4.36E+08,289.5,5665,0.5,0,0.02
1.10E+07,4.32E+08,289.5,5715,0.5,0,0.02
1.07E+07,4.25E+08,289.5,5691,0.5,0,0.02
1.09E+07,4.16E+08,289.5,5653,0.5,0,0.02
1.08E+07,4.26E+08,289.5,5779,0.5,0,0.02
1.10E+07,4.51E+08,289.5,5561,0.5,0,0.02
1.12E+07,4.52E+08,289.5,5561,0.5,0,0.02
1.14E+07,4.67E+08,289.5,5606,0.5,0,0.02
1.12E+07,4.68E+08,289.5,5456,0.5,0,0.02
1.05E+07,4.40E+08,289.5,5597,0.5,0,0.02
1.04E+07,4.21E+08,289.5,5713,0.5,0,0.02
1.06E+07,4.12E+08,289.5,5774,0.5,0,0.02
1.09E+07,4.09E+08,289.5,5870,0.5,0,0.02
1.13E+07,4.38E+08,289.5,5883,0.5,0,0.02
1.15E+07,4.48E+08,289.5,5608,0.5,0,0.02
1.14E+07,4.61E+08,289.5,5573,0.5,0,0.02
1.12E+07,4.56E+08,289.5,5506,0.5,0,0.02
1.08E+07,4.32E+08,289.5,5675,0.5,0,0.02
1.08E+07,4.31E+08,289.5,5664,0.5,0,0.02
1.10E+07,4.22E+08,289.5,5754,0.5,0,0.02
1.10E+07,4.42E+08,289.5,5503,0.5,0,0.02
1.09E+07,4.43E+08,289.5,5632,0.5,0,0.02
1.07E+07,4.36E+08,289.5,5767,0.5,0,0.02
1.12E+07,4.50E+08,289.5,5850,0.5,0,0.02
1.10E+07,4.75E+08,289.5,5825,0.5,0,0.02
1.12E+07,4.64E+08,289.5,5683,0.5,0,0.02
1.12E+07,4.57E+08,289.5,5679,0.5,0,0.02
1.14E+07,4.68E+08,289.5,5609,0.5,0,0.02
1.12E+07,4.73E+08,289.5,5666,0.5,0,0.02
1.10E+07,4.58E+08,289.5,5567,0.5,0,0.02
1.08E+07,4.57E+08,289.5,5501,0.5,0,0.02
1.04E+07,4.31E+08,289.5,5650,0.5,0,0.02
1.07E+07,4.18E+08,289.5,5754,0.5,0,0.02
1.09E+07,4.33E+08,289.5,5788,0.5,0,0.02
1.11E+07,4.40E+08,289.5,5789,0.5,0,0.02
1.11E+07,4.33E+08,289.5,5899,0.5,0,0.02
1.12E+07,4.41E+08,289.5,5888,0.5,0,0.02
1.12E+07,4.40E+08,289.5,5845,0.5,0,0.02
1.13E+07,4.46E+08,289.5,5675,0.5,0,0.02
1.14E+07,4.55E+08,289.5,5557,0.5,0,0.02
1.13E+07,4.53E+08,289.5,5484,0.5,0,0.02
1.10E+07,4.62E+08,289.5,5477,0.5,0,0.02
1.07E+07,4.41E+08,289.5,5609,0.5,0,0.02
1.05E+07,4.33E+08,289.5,5588,0.5,0,0.02
1.05E+07,4.21E+08,289.5,5688,0.5,0,0.02
1.08E+07,4.25E+08,289.5,5848,0.5,0,0.02
1.11E+07,4.38E+08,289.5,5839,0.5,0,0.02
1.14E+07,4.60E+08,289.5,5773,0.5,0,0.02
1.16E+07,4.64E+08,289.5,5661,0.5,0,0.02
1.14E+07,4.66E+08,289.5,5585,0.5,0,0.02
1.13E+07,4.61E+08,289.5,5518,0.5,0,0.02
1.11E+07,4.41E+08,289.5,5657,0.5,0,0.02
1.09E+07,4.41E+08,289.5,5690,0.5,0,0.02
1.08E+07,4.37E+08,289.5,5743,0.5,0,0.02
1.08E+07,4.46E+08,289.5,5771,0.5,0,0.02
1.09E+07,4.45E+08,289.5,5607,0.5,0,0.02
1.11E+07,4.47E+08,289.5,5435,0.5,0,0.02
1.12E+07,4.45E+08,289.5,5576,0.5,0,0.02
1.10E+07,4.61E+08,289.5,5487,0.5,0,0.02
1.08E+07,4.46E+08,289.5,5492,0.5,0,0.02
1.04E+07,4.28E+08,289.5,5631,0.5,0,0.02
2.20E+06,1.04E+08,289.5,2027,0.5,0,0.04
2.56E+06,9.95E+07,289.5,2306,0.5,0,0.04
3.19E+06,1.07E+08,289.5,2524,0.5,0,0.04
3.93E+06,1.33E+08,289.5,2837,0.5,0,0.04
4.59E+06,1.58E+08,289.5,3261,0.5,0,0.04
5.33E+06,1.89E+08,289.5,3502,0.5,0,0.04
5.92E+06,2.08E+08,289.5,3794,0.5,0,0.04
6.35E+06,2.33E+08,289.5,4025,0.5,0,0.04
6.98E+06,2.62E+08,289.5,4240,0.5,0,0.04
7.52E+06,2.82E+08,289.5,4483,0.5,0,0.04
7.89E+06,2.98E+08,289.5,4745,0.5,0,0.04
8.17E+06,3.09E+08,289.5,4865,0.5,0,0.04
8.64E+06,3.20E+08,289.5,4972,0.5,0,0.04
8.94E+06,3.28E+08,289.5,5147,0.5,0,0.04
9.48E+06,3.34E+08,289.5,5252,0.5,0,0.04
9.90E+06,3.50E+08,289.5,5410,0.5,0,0.04
9.82E+06,3.65E+08,289.5,5592,0.5,0,0.04
1.02E+07,3.78E+08,289.5,5798,0.5,0,0.04
1.09E+07,4.05E+08,289.5,5820,0.5,0,0.04
1.10E+07,4.30E+08,289.5,5855,0.5,0,0.04
1.11E+07,4.37E+08,289.5,5688,0.5,0,0.04
1.12E+07,4.56E+08,289.5,5638,0.5,0,0.04
1.10E+07,4.53E+08,289.5,5541,0.5,0,0.04
1.09E+07,4.45E+08,289.5,5447,0.5,0,0.04
1.08E+07,4.43E+08,289.5,5399,0.5,0,0.04
1.07E+07,4.42E+08,289.5,5531,0.5,0,0.04
1.03E+07,4.22E+08,289.5,5583,0.5,0,0.04
1.03E+07,3.98E+08,289.5,5776,0.5,0,0.04
1.07E+07,4.04E+08,289.5,5746,0.5,0,0.04
1.09E+07,4.10E+08,289.5,5775,0.5,0,0.04
1.11E+07,4.22E+08,289.5,5778,0.5,0,0.04
1.12E+07,4.17E+08,289.5,5867,0.5,0,0.04
1.12E+07,4.31E+08,289.5,5846,0.5,0,0.04
1.13E+07,4.63E+08,289.5,5786,0.5,0,0.04
1.14E+07,4.70E+08,289.5,5742,0.5,0,0.04
1.13E+07,4.60E+08,289.5,5659,0.5,0,0.04
1.10E+07,4.61E+08,289.5,5636,0.5,0,0.04
1.09E+07,4.58E+08,289.5,5647,0.5,0,0.04
1.11E+07,4.66E+08,289.5,5680,0.5,0,0.04
1.11E+07,4.68E+08,289.5,5642,0.5,0,0.04
1.11E+07,4.42E+08,289.5,5476,0.5,0,0.04
1.10E+07,4.40E+08,289.5,5559,0.5,0,0.04
1.10E+07,4.27E+08,289.5,5656,0.5,0,0.04
1.08E+07,4.40E+08,289.5,5481,0.5,0,0.04
1.11E+07,4.23E+08,289.5,5453,0.5,0,0.04
1.07E+07,4.31E+08,289.5,5636,0.5,0,0.04
1.07E+07,4.37E+08,289.5,5664,0.5,0,0.04
1.08E+07,4.29E+08,289.5,5696,0.5,0,0.04
1.11E+07,4.54E+08,289.5,5881,0.5,0,0.04
1.10E+07,4.57E+08,289.5,5801,0.5,0,0.04
1.14E+07,4.54E+08,289.5,5727,0.5,0,0.04
1.17E+07,4.76E+08,289.5,5752,0.5,0,0.04
1.14E+07,4.73E+08,289.5,5773,0.5,0,0.04
1.15E+07,4.62E+08,289.5,5693,0.5,0,0.04
1.13E+07,4.68E+08,289.5,5660,0.5,0,0.04
1.07E+07,4.55E+08,289.5,5553,0.5,0,0.04
1.08E+07,4.32E+08,289.5,5690,0.5,0,0.04
1.09E+07,4.46E+08,289.5,5739,0.5,0,0.04
1.12E+07,4.53E+08,289.5,5589,0.5,0,0.04
1.11E+07,4.61E+08,289.5,5500,0.5,0,0.04
1.10E+07,4.55E+08,289.5,5454,0.5,0,0.04
1.07E+07,4.49E+08,289.5,5396,0.5,0,0.04
1.08E+07,4.37E+08,289.5,5585,0.5,0,0.04
