SumBiomass,fecund_pop,Lp50_pop,num_pop,Finput,CVg,Fdi
2.97E+07,2.01E+08,480.67,2340,0.5,0,0.02
1.96E+07,1.34E+08,480.67,2162,0.5,0,0.02
1.39E+07,8.73E+07,480.67,2006,0.5,0,0.02
1.18E+07,5.82E+07,480.67,1883,0.5,0,0.02
1.09E+07,5.17E+07,480.67,1833,0.5,0,0.02
9.94E+06,4.44E+07,480.67,1712,0.5,0,0.02
9.20E+06,3.84E+07,480.67,1647,0.5,0,0.02
8.94E+06,3.90E+07,480.67,1640,0.5,0,0.02
8.68E+06,3.85E+07,480.67,1683,0.5,0,0.02
8.94E+06,4.00E+07,480.67,1676,0.5,0,0.02
8.44E+06,3.68E+07,480.67,1623,0.5,0,0.02
8.54E+06,3.31E+07,480.67,1619,0.5,0,0.02
8.64E+06,3.45E+07,480.67,1564,0.5,0,0.02
8.08E+06,3.31E+07,480.67,1543,0.5,0,0.02
7.87E+06,3.31E+07,480.67,1507,0.5,0,0.02
7.25E+06,3.04E+07,480.67,1545,0.5,0,0.02
7.97E+06,3.39E+07,480.67,1498,0.5,0,0.02
7.82E+06,3.40E+07,480.67,1521,0.5,0,0.02
7.87E+06,2.99E+07,480.67,1451,0.5,0,0.02
7.27E+06,2.77E+07,480.67,1493,0.5,0,0.02
7.44E+06,2.84E+07,480.67,1518,0.5,0,0.02
7.38E+06,2.69E+07,480.67,1508,0.5,0,0.02
7.82E+06,2.83E+07,480.67,1540,0.5,0,0.02
7.74E+06,2.81E+07,480.67,1562,0.5,0,0.02
8.03E+06,3.41E+07,480.67,1564,0.5,0,0.02
7.75E+06,3.00E+07,480.67,1586,0.5,0,0.02
8.10E+06,3.30E+07,480.67,1503,0.5,0,0.02
7.55E+06,3.13E+07,480.67,1510,0.5,0,0.02
7.62E+06,3.04E+07,480.67,1471,0.5,0,0.02
7.36E+06,2.98E+07,480.67,1484,0.5,0,0.02
7.41E+06,2.85E+07,480.67,1429,0.5,0,0.02
7.06E+06,2.66E+07,480.67,1466,0.5,0,0.02
7.11E+06,2.86E+07,480.67,1446,0.5,0,0.02
7.06E+06,2.78E+07,480.67,1505,0.5,0,0.02
7.34E+06,2.88E+07,480.67,1521,0.5,0,0.02
7.36E+06,2.99E+07,480.67,1479,0.5,0,0.02
7.41E+06,2.75E+07,480.67,1486,0.5,0,0.02
7.18E+06,2.63E+07,480.67,1515,0.5,0,0.02
7.30E+06,2.42E+07,480.67,1490,0.5,0,0.02
7.45E+06,2.58E+07,480.67,1497,0.5,0,0.02
7.65E+06,2.82E+07,480.67,1531,0.5,0,0.02
7.57E+06,2.84E+07,480.67,1553,0.5,0,0.02
7.58E+06,2.81E+07,480.67,1554,0.5,0,0.02
7.62E+06,2.91E+07,480.67,1543,0.5,0,0.02
7.65E+06,2.89E+07,480.67,1530,0.5,0,0.02
7.31E+06,2.71E+07,480.67,1520,0.5,0,0.02
7.63E+06,2.88E+07,480.67,1478,0.5,0,0.02
7.81E+06,3.16E+07,480.67,1469,0.5,0,0.02
7.86E+06,3.10E+07,480.67,1475,0.5,0,0.02
8.07E+06,3.34E+07,480.67,1528,0.5,0,0.02
7.81E+06,2.85E+07,480.67,1552,0.5,0,0.02
8.09E+06,3.13E+07,480.67,1507,0.5,0,0.02
7.65E+06,2.98E+07,480.67,1475,0.5,0,0.02
7.17E+06,2.82E+07,480.67,1515,0.5,0,0.02
7.27E+06,2.90E+07,480.67,1465,0.5,0,0.02
7.26E+06,3.13E+07,480.67,1437,0.5,0,0.02
7.41E+06,3.08E+07,480.67,1461,0.5,0,0.02
7.36E+06,2.97E+07,480.67,1439,0.5,0,0.02
7.02E+06,2.88E+07,480.67,1511,0.5,0,0.02
7.06E+06,2.56E+07,480.67,1509,0.5,0,0.02
7.56E+06,2.45E+07,480.67,1458,0.5,0,0.02
7.43E+06,2.71E+07,480.67,1518,0.5,0,0.02
7.43E+06,2.79E+07,480.67,1540,0.5,0,0.02
7.58E+06,2.86E+07,480.67,1579,0.5,0,0.02
7.83E+06,3.20E+07,480.67,1520,0.5,0,0.02
7.56E+06,3.16E+07,480.67,1479,0.5,0,0.02
7.62E+06,3.09E+07,480.67,1469,0.5,0,0.02
7.74E+06,3.29E+07,480.67,1447,0.5,0,0.02
7.21E+06,3.03E+07,480.67,1470,0.5,0,0.02
7.26E+06,2.91E+07,480.67,1578,0.5,0,0.02
7.43E+06,2.89E+07,480.67,1559,0.5,0,0.02
7.83E+06,3.06E+07,480.67,1507,0.5,0,0.02
7.74E+06,3.08E+07,480.67,1442,0.5,0,0.02
7.21E+06,2.84E+07,480.67,1453,0.5,0,0.02
7.22E+06,2.75E+07,480.67,1530,0.5,0,0.02
7.38E+06,2.88E+07,480.67,1597,0.5,0,0.02
7.77E+06,3.03E+07,480.67,1570,0.5,0,0.02
8.06E+06,3.17E+07,480.67,1449,0.5,0,0.02
7.47E+06,3.03E+07,480.67,1430,0.5,0,0.02
7.45E+06,3.17E+07,480.67,1418,0.5,0,0.02
7.08E+06,3.02E+07,480.67,1480,0.5,0,0.02
7.19E+06,2.92E+07,480.67,1492,0.5,0,0.02
7.60E+06,2.95E+07,480.67,1493,0.5,0,0.02
7.46E+06,2.72E+07,480.67,1529,0.5,0,0.02
7.67E+06,2.89E+07,480.67,1520,0.5,0,0.02
7.63E+06,2.91E+07,480.67,1480,0.5,0,0.02
7.60E+06,3.34E+07,480.67,1441,0.5,0,0.02
7.26E+06,2.91E+07,480.67,1437,0.5,0,0.02
7.29E+06,2.76E+07,480.67,1474,0.5,0,0.02
7.12E+06,2.66E+07,480.67,1473,0.5,0,0.02
7.19E+06,2.55E+07,480.67,1485,0.5,0,0.02
7.73E+06,2.65E+07,480.67,1458,0.5,0,0.02
7.47E+06,2.89E+07,480.67,1527,0.5,0,0.02
7.44E+06,2.95E+07,480.67,1502,0.5,0,0.02
7.40E+06,2.79E+07,480.67,1509,0.5,0,0.02
7.11E+06,2.57E+07,480.67,1537,0.5,0,0.02
8.07E+06,2.88E+07,480.67,1579,0.5,0,0.02
7.99E+06,3.25E+07,480.67,1530,0.5,0,0.02
7.68E+06,3.08E+07,480.67,1472,0.5,0,0.02
7.24E+06,2.66E+07,480.67,1506,0.5,0,0.02
7.43E+06,2.64E+07,480.67,1519,0.5,0,0.02
7.84E+06,3.19E+07,480.67,1786,0.5,0,0.02
1.14E+07,5.09E+07,480.67,2113,0.5,0,0.02
1.48E+07,7.32E+07,480.67,2311,0.5,0,0.02
1.80E+07,9.72E+07,480.67,2569,0.5,0,0.02
2.07E+07,1.20E+08,480.67,2792,0.5,0,0.02
2.32E+07,1.44E+08,480.67,3099,0.5,0,0.02
2.59E+07,1.63E+08,480.67,3312,0.5,0,0.02
2.89E+07,1.84E+08,480.67,3376,0.5,0,0.02
3.05E+07,2.00E+08,480.67,3313,0.5,0,0.02
3.19E+07,2.15E+08,480.67,3236,0.5,0,0.02
3.29E+07,2.24E+08,480.67,3229,0.5,0,0.02
3.31E+07,2.25E+08,480.67,3217,0.5,0,0.02
3.24E+07,2.24E+08,480.67,3175,0.5,0,0.02
3.22E+07,2.22E+08,480.67,3191,0.5,0,0.02
3.20E+07,2.28E+08,480.67,3190,0.5,0,0.02
