SumBiomass,fecund_pop,Lp50_pop,num_pop,Finput,CVg,H2
1.12E+07,4.14E+08,289.5,5777,0.5,0,0.2
1.13E+07,4.26E+08,289.5,5799,0.5,0,0.2
1.14E+07,4.46E+08,289.5,5879,0.5,0,0.2
1.14E+07,4.46E+08,289.5,5014,0.5,0,0.2
8.78E+06,3.33E+08,289.5,4503,0.5,0,0.2
7.53E+06,2.64E+08,289.5,4100,0.5,0,0.2
6.85E+06,2.31E+08,289.5,3898,0.5,0,0.2
6.42E+06,2.12E+08,289.5,3694,0.5,0,0.2
6.03E+06,1.94E+08,289.5,3536,0.5,0,0.2
5.79E+06,1.81E+08,289.5,3406,0.5,0,0.2
5.43E+06,1.68E+08,289.5,3263,0.5,0,0.2
5.05E+06,1.58E+08,289.5,3066,0.5,0,0.2
4.86E+06,1.47E+08,289.5,2900,0.5,0,0.2
4.42E+06,1.27E+08,289.5,2707,0.5,0,0.2
4.27E+06,1.30E+08,289.5,2638,0.5,0,0.2
4.08E+06,1.36E+08,289.5,2705,0.5,0,0.2
3.97E+06,1.33E+08,289.5,2697,0.5,0,0.2
3.88E+06,1.16E+08,289.5,2541,0.5,0,0.2
3.93E+06,1.17E+08,289.5,2412,0.5,0,0.2
3.66E+06,1.15E+08,289.5,2440,0.5,0,0.2
3.58E+06,1.09E+08,289.5,2301,0.5,0,0.2
3.59E+06,1.07E+08,289.5,2278,0.5,0,0.2
3.44E+06,1.08E+08,289.5,2254,0.5,0,0.2
3.26E+06,1.05E+08,289.5,2280,0.5,0,0.2
3.31E+06,9.70E+07,289.5,2213,0.5,0,0.2
3.30E+06,1.02E+08,289.5,2169,0.5,0,0.2
3.25E+06,1.02E+08,289.5,2144,0.5,0,0.2
3.14E+06,9.52E+07,289.5,2118,0.5,0,0.2
3.18E+06,9.12E+07,289.5,2061,0.5,0,0.2
3.14E+06,9.85E+07,289.5,2064,0.5,0,0.2
3.01E+06,9.18E+07,289.5,2023,0.5,0,0.2
2.97E+06,8.68E+07,289.5,1991,0.5,0,0.2
2.83E+06,8.77E+07,289.5,1932,0.5,0,0.2
2.82E+06,8.41E+07,289.5,1922,0.5,0,0.2
2.73E+06,8.51E+07,289.5,1952,0.5,0,0.2
2.72E+06,8.26E+07,289.5,1918,0.5,0,0.2
2.85E+06,8.93E+07,289.5,1921,0.5,0,0.2
2.75E+06,8.63E+07,289.5,1971,0.5,0,0.2
2.78E+06,8.18E+07,289.5,1922,0.5,0,0.2
2.77E+06,7.87E+07,289.5,1837,0.5,0,0.2
2.77E+06,8.25E+07,289.5,1787,0.5,0,0.2
2.54E+06,7.71E+07,289.5,1770,0.5,0,0.2
2.46E+06,7.04E+07,289.5,1760,0.5,0,0.2
2.56E+06,7.56E+07,289.5,1825,0.5,0,0.2
2.56E+06,8.33E+07,289.5,1844,0.5,0,0.2
2.56E+06,7.83E+07,289.5,1836,0.5,0,0.2
2.63E+06,7.78E+07,289.5,1835,0.5,0,0.2
2.66E+06,8.41E+07,289.5,1857,0.5,0,0.2
2.61E+06,7.95E+07,289.5,1837,0.5,0,0.2
2.62E+06,7.65E+07,289.5,1825,0.5,0,0.2
2.62E+06,8.19E+07,289.5,1791,0.5,0,0.2
2.57E+06,7.93E+07,289.5,1838,0.5,0,0.2
2.73E+06,8.68E+07,289.5,1905,0.5,0,0.2
2.63E+06,8.02E+07,289.5,1873,0.5,0,0.2
2.64E+06,7.82E+07,289.5,1799,0.5,0,0.2
2.63E+06,7.86E+07,289.5,1756,0.5,0,0.2
2.63E+06,7.75E+07,289.5,1878,0.5,0,0.2
2.64E+06,7.42E+07,289.5,1919,0.5,0,0.2
2.76E+06,6.94E+07,289.5,1858,0.5,0,0.2
2.75E+06,8.08E+07,289.5,1813,0.5,0,0.2
2.61E+06,7.89E+07,289.5,1781,0.5,0,0.2
2.60E+06,7.81E+07,289.5,1754,0.5,0,0.2
2.63E+06,8.15E+07,289.5,1765,0.5,0,0.2
2.42E+06,7.49E+07,289.5,1807,0.5,0,0.2
2.42E+06,7.50E+07,289.5,1879,0.5,0,0.2
2.57E+06,7.16E+07,289.5,1819,0.5,0,0.2
2.64E+06,8.06E+07,289.5,1774,0.5,0,0.2
2.57E+06,7.64E+07,289.5,1855,0.5,0,0.2
2.46E+06,7.33E+07,289.5,1889,0.5,0,0.2
2.52E+06,7.65E+07,289.5,1893,0.5,0,0.2
2.62E+06,8.05E+07,289.5,1883,0.5,0,0.2
2.62E+06,7.87E+07,289.5,1879,0.5,0,0.2
2.72E+06,8.00E+07,289.5,1830,0.5,0,0.2
2.62E+06,7.77E+07,289.5,1744,0.5,0,0.2
2.51E+06,7.46E+07,289.5,1729,0.5,0,0.2
2.50E+06,7.33E+07,289.5,1772,0.5,0,0.2
2.48E+06,6.83E+07,289.5,1754,0.5,0,0.2
2.49E+06,6.93E+07,289.5,1796,0.5,0,0.2
2.58E+06,6.98E+07,289.5,1805,0.5,0,0.2
2.55E+06,7.63E+07,289.5,1844,0.5,0,0.2
2.55E+06,7.94E+07,289.5,1936,0.5,0,0.2
2.57E+06,7.98E+07,289.5,1946,0.5,0,0.2
2.71E+06,8.08E+07,289.5,1900,0.5,0,0.2
2.77E+06,8.45E+07,289.5,1906,0.5,0,0.2
2.76E+06,8.27E+07,289.5,1868,0.5,0,0.2
2.56E+06,7.47E+07,289.5,1783,0.5,0,0.2
2.51E+06,7.46E+07,289.5,1821,0.5,0,0.2
2.49E+06,7.95E+07,289.5,1804,0.5,0,0.2
2.49E+06,7.33E+07,289.5,1784,0.5,0,0.2
2.57E+06,7.71E+07,289.5,1888,0.5,0,0.2
2.57E+06,7.11E+07,289.5,1759,0.5,0,0.2
2.55E+06,7.66E+07,289.5,1763,0.5,0,0.2
2.53E+06,7.39E+07,289.5,1731,0.5,0,0.2
