SumBiomass,fecund_pop,Lp50_pop,num_pop,Finput,CVg,Epoch
9.10E+06,3.44E+08,289.5,4981,0.2,0,1
9.03E+06,3.22E+08,289.5,4791,0.2,0,1
8.79E+06,3.23E+08,289.5,4774,0.2,0,1
8.65E+06,3.18E+08,289.5,4608,0.2,0,1
8.29E+06,3.07E+08,289.5,4578,0.2,0,1
8.10E+06,2.97E+08,289.5,4530,0.2,0,1
7.89E+06,2.93E+08,289.5,4481,0.2,0,1
7.92E+06,2.79E+08,289.5,4387,0.2,0,1
7.70E+06,2.73E+08,289.5,4460,0.2,0,1
7.65E+06,2.80E+08,289.5,4376,0.2,0,1
7.62E+06,2.66E+08,289.5,4380,0.2,0,1
7.63E+06,2.74E+08,289.5,4329,0.2,0,1
7.68E+06,2.74E+08,289.5,4441,0.2,0,1
7.79E+06,2.70E+08,289.5,4413,0.2,0,1
7.61E+06,2.59E+08,289.5,4380,0.2,0,1
7.56E+06,2.51E+08,289.5,4367,0.2,0,1
7.61E+06,2.65E+08,289.5,4425,0.2,0,1
7.52E+06,2.68E+08,289.5,4287,0.2,0,1
7.45E+06,2.66E+08,289.5,4243,0.2,0,1
7.33E+06,2.65E+08,289.5,4284,0.2,0,1
7.24E+06,2.55E+08,289.5,4311,0.2,0,1
7.18E+06,2.51E+08,289.5,4263,0.2,0,1
7.27E+06,2.53E+08,289.5,4230,0.2,0,1
7.12E+06,2.50E+08,289.5,4236,0.2,0,1
7.16E+06,2.50E+08,289.5,4283,0.2,0,1
7.25E+06,2.51E+08,289.5,4252,0.2,0,1
7.03E+06,2.48E+08,289.5,4273,0.2,0,1
7.35E+06,2.61E+08,289.5,4280,0.2,0,1
7.19E+06,2.64E+08,289.5,4200,0.2,0,1
7.28E+06,2.67E+08,289.5,4333,0.2,0,1
7.21E+06,2.73E+08,289.5,4206,0.2,0,1
7.06E+06,2.62E+08,289.5,4310,0.2,0,1
7.20E+06,2.50E+08,289.5,4333,0.2,0,1
7.31E+06,2.61E+08,289.5,4232,0.2,0,1
7.27E+06,2.54E+08,289.5,4260,0.2,0,1
7.34E+06,2.63E+08,289.5,4294,0.2,0,1
7.18E+06,2.62E+08,289.5,4367,0.2,0,1
7.30E+06,2.59E+08,289.5,4405,0.2,0,1
7.27E+06,2.55E+08,289.5,4355,0.2,0,1
7.33E+06,2.58E+08,289.5,4281,0.2,0,1
7.34E+06,2.60E+08,289.5,4295,0.2,0,1
7.23E+06,2.67E+08,289.5,4269,0.2,0,1
7.10E+06,2.52E+08,289.5,4175,0.2,0,1
7.01E+06,2.31E+08,289.5,4058,0.2,0,1
6.89E+06,2.42E+08,289.5,4013,0.2,0,1
6.90E+06,2.39E+08,289.5,4069,0.2,0,1
6.99E+06,2.45E+08,289.5,4109,0.2,0,1
7.12E+06,2.51E+08,289.5,4134,0.2,0,1
