SumBiomass,fecund_pop,Lp50_pop,num_pop,Finput,CVg
1.87E+07,1.02E+08,480.67,2400,0.2,0
1.77E+07,9.47E+07,480.67,2393,0.2,0
1.80E+07,9.48E+07,480.67,2405,0.2,0
1.81E+07,9.29E+07,480.67,2377,0.2,0
1.75E+07,9.10E+07,480.67,2378,0.2,0
1.75E+07,9.25E+07,480.67,2361,0.2,0
1.75E+07,1.00E+08,480.67,2389,0.2,0
1.78E+07,9.97E+07,480.67,2462,0.2,0
1.79E+07,9.98E+07,480.67,2433,0.2,0
1.80E+07,9.79E+07,480.67,2456,0.2,0
1.80E+07,9.84E+07,480.67,2496,0.2,0
1.87E+07,1.03E+08,480.67,2476,0.2,0
1.87E+07,1.04E+08,480.67,2515,0.2,0
1.90E+07,1.04E+08,480.67,2423,0.2,0
1.84E+07,1.03E+08,480.67,2421,0.2,0
1.81E+07,1.05E+08,480.67,2467,0.2,0
1.83E+07,1.02E+08,480.67,2414,0.2,0
1.83E+07,9.74E+07,480.67,2460,0.2,0
1.86E+07,9.99E+07,480.67,2483,0.2,0
1.84E+07,1.01E+08,480.67,2483,0.2,0
1.87E+07,1.02E+08,480.67,2510,0.2,0
1.90E+07,1.05E+08,480.67,2495,0.2,0
1.91E+07,1.02E+08,480.67,2445,0.2,0
1.86E+07,9.81E+07,480.67,2443,0.2,0
1.76E+07,9.92E+07,480.67,2434,0.2,0
1.80E+07,9.55E+07,480.67,2430,0.2,0
1.80E+07,9.74E+07,480.67,2471,0.2,0
1.79E+07,9.47E+07,480.67,2447,0.2,0
1.79E+07,9.38E+07,480.67,2450,0.2,0
1.81E+07,9.34E+07,480.67,2398,0.2,0
1.82E+07,9.82E+07,480.67,2389,0.2,0
1.80E+07,9.44E+07,480.67,2394,0.2,0
1.77E+07,9.27E+07,480.67,2442,0.2,0
1.81E+07,9.75E+07,480.67,2416,0.2,0
1.79E+07,9.86E+07,480.67,2432,0.2,0
1.79E+07,9.53E+07,480.67,2441,0.2,0
1.82E+07,9.79E+07,480.67,2422,0.2,0
1.82E+07,9.20E+07,480.67,2376,0.2,0
1.77E+07,8.71E+07,480.67,2415,0.2,0
1.83E+07,9.36E+07,480.67,2456,0.2,0
1.84E+07,9.68E+07,480.67,2537,0.2,0
1.88E+07,1.02E+08,480.67,2472,0.2,0
1.86E+07,9.96E+07,480.67,2400,0.2,0
1.83E+07,1.01E+08,480.67,2347,0.2,0
1.77E+07,9.46E+07,480.67,2375,0.2,0
1.76E+07,9.67E+07,480.67,2462,0.2,0
1.82E+07,1.01E+08,480.67,2433,0.2,0
1.88E+07,1.02E+08,480.67,2385,0.2,0
1.86E+07,1.06E+08,480.67,2396,0.2,0
1.78E+07,1.00E+08,480.67,2465,0.2,0
1.81E+07,1.06E+08,480.67,2416,0.2,0
1.78E+07,9.97E+07,480.67,2479,0.2,0
1.81E+07,9.87E+07,480.67,2488,0.2,0
1.82E+07,9.90E+07,480.67,2484,0.2,0
1.77E+07,9.45E+07,480.67,2439,0.2,0
1.80E+07,9.13E+07,480.67,2363,0.2,0
1.80E+07,9.72E+07,480.67,2394,0.2,0
1.79E+07,9.46E+07,480.67,2327,0.2,0
1.74E+07,9.52E+07,480.67,2332,0.2,0
1.74E+07,9.44E+07,480.67,2388,0.2,0
1.77E+07,9.34E+07,480.67,2394,0.2,0
1.80E+07,9.60E+07,480.67,2397,0.2,0
1.77E+07,9.80E+07,480.67,2469,0.2,0
1.82E+07,9.83E+07,480.67,2474,0.2,0
1.78E+07,9.11E+07,480.67,2428,0.2,0
1.80E+07,9.11E+07,480.67,2362,0.2,0
1.72E+07,8.74E+07,480.67,2375,0.2,0
1.76E+07,9.25E+07,480.67,2347,0.2,0
1.72E+07,9.22E+07,480.67,2323,0.2,0
1.72E+07,9.01E+07,480.67,2410,0.2,0
1.76E+07,9.43E+07,480.67,2441,0.2,0
1.81E+07,9.91E+07,480.67,2461,0.2,0
1.80E+07,1.02E+08,480.67,2390,0.2,0
1.80E+07,1.00E+08,480.67,2374,0.2,0
1.80E+07,1.04E+08,480.67,2359,0.2,0
1.75E+07,9.33E+07,480.67,2410,0.2,0
1.79E+07,9.59E+07,480.67,2464,0.2,0
1.81E+07,9.77E+07,480.67,2452,0.2,0
1.80E+07,9.44E+07,480.67,2401,0.2,0
1.77E+07,9.12E+07,480.67,2433,0.2,0
1.80E+07,9.69E+07,480.67,2437,0.2,0
1.78E+07,1.04E+08,480.67,2471,0.2,0
1.80E+07,1.01E+08,480.67,2438,0.2,0
1.84E+07,1.02E+08,480.67,2394,0.2,0
1.78E+07,1.01E+08,480.67,2382,0.2,0
1.78E+07,1.02E+08,480.67,2412,0.2,0
1.81E+07,9.62E+07,480.67,2377,0.2,0
1.76E+07,9.79E+07,480.67,2372,0.2,0
1.73E+07,9.21E+07,480.67,2633,0.2,0
2.08E+07,1.08E+08,480.67,2855,0.2,0
2.37E+07,1.26E+08,480.67,3061,0.2,0
2.59E+07,1.43E+08,480.67,3315,0.2,0
2.78E+07,1.61E+08,480.67,3347,0.2,0
2.92E+07,1.68E+08,480.67,3384,0.2,0
3.03E+07,1.81E+08,480.67,3218,0.2,0
3.02E+07,1.92E+08,480.67,3150,0.2,0
3.02E+07,2.06E+08,480.67,3123,0.2,0
2.94E+07,2.05E+08,480.67,3079,0.2,0
2.91E+07,1.97E+08,480.67,3085,0.2,0
2.90E+07,1.92E+08,480.67,3069,0.2,0
2.98E+07,1.95E+08,480.67,3037,0.2,0
3.00E+07,2.01E+08,480.67,3091,0.2,0
3.07E+07,2.10E+08,480.67,3130,0.2,0
3.11E+07,2.11E+08,480.67,3155,0.2,0
3.13E+07,2.13E+08,480.67,3162,0.2,0
3.12E+07,2.15E+08,480.67,3173,0.2,0
3.11E+07,2.15E+08,480.67,3086,0.2,0
3.08E+07,2.07E+08,480.67,3067,0.2,0
3.11E+07,2.12E+08,480.67,3060,0.2,0
3.10E+07,2.15E+08,480.67,3090,0.2,0
3.12E+07,2.18E+08,480.67,3074,0.2,0
3.13E+07,2.21E+08,480.67,3040,0.2,0
3.07E+07,2.17E+08,480.67,3038,0.2,0
3.05E+07,2.14E+08,480.67,3061,0.2,0
3.07E+07,2.08E+08,480.67,3054,0.2,0
3.08E+07,2.12E+08,480.67,3083,0.2,0
3.15E+07,2.13E+08,480.67,3108,0.2,0
3.11E+07,2.12E+08,480.67,3146,0.2,0
3.21E+07,2.08E+08,480.67,3129,0.2,0
3.20E+07,2.12E+08,480.67,3137,0.2,0
3.12E+07,2.11E+08,480.67,3115,0.2,0
3.09E+07,2.13E+08,480.67,3120,0.2,0
3.15E+07,2.15E+08,480.67,3172,0.2,0
3.13E+07,2.17E+08,480.67,3170,0.2,0
3.20E+07,2.18E+08,480.67,3148,0.2,0
3.24E+07,2.24E+08,480.67,3083,0.2,0
3.21E+07,2.23E+08,480.67,3046,0.2,0
3.11E+07,2.18E+08,480.67,3127,0.2,0
3.18E+07,2.25E+08,480.67,3108,0.2,0
3.18E+07,2.20E+08,480.67,3065,0.2,0
3.17E+07,2.13E+08,480.67,3065,0.2,0
3.08E+07,2.11E+08,480.67,3039,0.2,0
3.02E+07,2.00E+08,480.67,3089,0.2,0
3.05E+07,2.05E+08,480.67,3033,0.2,0
3.09E+07,2.05E+08,480.67,3076,0.2,0
3.14E+07,2.20E+08,480.67,3107,0.2,0
3.13E+07,2.28E+08,480.67,3094,0.2,0
3.12E+07,2.24E+08,480.67,3079,0.2,0
3.13E+07,2.20E+08,480.67,3037,0.2,0
3.12E+07,2.10E+08,480.67,3086,0.2,0
3.13E+07,2.19E+08,480.67,3068,0.2,0
3.14E+07,2.14E+08,480.67,3138,0.2,0
3.21E+07,2.18E+08,480.67,3102,0.2,0
3.17E+07,2.19E+08,480.67,3084,0.2,0
3.12E+07,2.15E+08,480.67,3124,0.2,0
3.08E+07,2.15E+08,480.67,3187,0.2,0
3.10E+07,2.13E+08,480.67,3166,0.2,0
3.09E+07,2.14E+08,480.67,3119,0.2,0
3.19E+07,2.10E+08,480.67,3099,0.2,0
3.19E+07,2.13E+08,480.67,3104,0.2,0
3.16E+07,2.14E+08,480.67,3118,0.2,0
3.16E+07,2.13E+08,480.67,3098,0.2,0
3.17E+07,2.09E+08,480.67,3095,0.2,0
3.17E+07,2.13E+08,480.67,3117,0.2,0
3.10E+07,2.10E+08,480.67,3114,0.2,0
3.15E+07,2.16E+08,480.67,3148,0.2,0
3.13E+07,2.13E+08,480.67,3103,0.2,0
3.10E+07,2.05E+08,480.67,3119,0.2,0
3.12E+07,2.08E+08,480.67,3087,0.2,0
3.17E+07,2.14E+08,480.67,3095,0.2,0
3.14E+07,2.10E+08,480.67,3117,0.2,0
3.15E+07,2.10E+08,480.67,3140,0.2,0
3.19E+07,2.17E+08,480.67,3179,0.2,0
