Ybirth,Pi,Ps,growth,Gi,Gd,l,age_mat,Lp50,Finput,CVg
146,-5.79,0.02,233,0.65,0.68,727.75,2,289.5,0.2,0
146,-5.79,0.02,233,0.65,0.68,564.47,1,289.5,0.2,0
146,-5.79,0.02,233,0.65,0.68,727.75,2,289.5,0.2,0
146,-5.79,0.02,233,0.65,0.68,564.47,1,289.5,0.2,0
146,-5.79,0.02,233,0.65,0.68,857.83,3,289.5,0.2,0
146,-5.79,0.02,233,0.65,0.68,564.47,1,289.5,0.2,0
146,-5.79,0.02,233,0.65,0.68,727.75,2,289.5,0.2,0
146,-5.79,0.02,233,0.65,0.68,727.75,2,289.5,0.2,0
146,-5.79,0.02,233,0.65,0.68,727.75,2,289.5,0.2,0
146,-5.79,0.02,233,0.65,0.68,727.75,2,289.5,0.2,0
146,-5.79,0.02,233,0.65,0.68,727.75,2,289.5,0.2,0
146,-5.79,0.02,233,0.65,0.68,727.75,2,289.5,0.2,0
146,-5.79,0.02,233,0.65,0.68,727.75,2,289.5,0.2,0
146,-5.79,0.02,233,0.65,0.68,564.47,1,289.5,0.2,0
146,-5.79,0.02,233,0.65,0.68,727.75,2,289.5,0.2,0
146,-5.79,0.02,233,0.65,0.68,857.83,3,289.5,0.2,0
146,-5.79,0.02,233,0.65,0.68,564.47,1,289.5,0.2,0
146,-5.79,0.02,233,0.65,0.68,564.47,1,289.5,0.2,0
146,-5.79,0.02,233,0.65,0.68,564.47,1,289.5,0.2,0
146,-5.79,0.02,233,0.65,0.68,727.75,2,289.5,0.2,0
146,-5.79,0.02,233,0.65,0.68,727.75,2,289.5,0.2,0
146,-5.79,0.02,233,0.65,0.68,727.75,2,289.5,0.2,0
146,-5.79,0.02,233,0.65,0.68,727.75,2,289.5,0.2,0
146,-5.79,0.02,233,0.65,0.68,727.75,2,289.5,0.2,0
146,-5.79,0.02,233,0.65,0.68,564.47,1,289.5,0.2,0
146,-5.79,0.02,233,0.65,0.68,727.75,2,289.5,0.2,0
146,-5.79,0.02,233,0.65,0.68,564.47,1,289.5,0.2,0
146,-5.79,0.02,233,0.65,0.68,727.75,2,289.5,0.2,0
146,-5.79,0.02,233,0.65,0.68,564.47,1,289.5,0.2,0
146,-5.79,0.02,233,0.65,0.68,564.47,1,289.5,0.2,0
146,-5.79,0.02,233,0.65,0.68,727.75,2,289.5,0.2,0
146,-5.79,0.02,233,0.65,0.68,727.75,2,289.5,0.2,0
146,-5.79,0.02,233,0.65,0.68,727.75,2,289.5,0.2,0
146,-5.79,0.02,233,0.65,0.68,727.75,2,289.5,0.2,0
146,-5.79,0.02,233,0.65,0.68,727.75,2,289.5,0.2,0
146,-5.79,0.02,233,0.65,0.68,564.47,1,289.5,0.2,0
146,-5.79,0.02,233,0.65,0.68,857.83,3,289.5,0.2,0
146,-5.79,0.02,233,0.65,0.68,857.83,3,289.5,0.2,0
146,-5.79,0.02,233,0.65,0.68,564.47,1,289.5,0.2,0
146,-5.79,0.02,233,0.65,0.68,727.75,2,289.5,0.2,0
146,-5.79,0.02,233,0.65,0.68,727.75,2,289.5,0.2,0
146,-5.79,0.02,233,0.65,0.68,727.75,2,289.5,0.2,0
146,-5.79,0.02,233,0.65,0.68,727.75,2,289.5,0.2,0
146,-5.79,0.02,233,0.65,0.68,727.75,2,289.5,0.2,0
146,-5.79,0.02,233,0.65,0.68,727.75,2,289.5,0.2,0
