SumBiomass,fecund_pop,Lp50_pop,num_pop,Finput,CVg,Gamma
3.10E+07,2.10E+08,480.67,2385,0.5,0,0.52
1.94E+07,1.25E+08,480.67,2064,0.5,0,0.52
1.40E+07,7.34E+07,480.67,1862,0.5,0,0.52
1.17E+07,5.49E+07,480.67,1749,0.5,0,0.52
1.08E+07,4.51E+07,480.67,1699,0.5,0,0.52
1.01E+07,4.47E+07,480.67,1670,0.5,0,0.52
9.69E+06,3.66E+07,480.67,1691,0.5,0,0.52
9.67E+06,3.31E+07,480.67,1614,0.5,0,0.52
9.25E+06,3.42E+07,480.67,1563,0.5,0,0.52
9.12E+06,3.67E+07,480.67,1584,0.5,0,0.52
8.79E+06,3.63E+07,480.67,1586,0.5,0,0.52
8.94E+06,3.86E+07,480.67,1590,0.5,0,0.52
8.67E+06,3.79E+07,480.67,1615,0.5,0,0.52
8.56E+06,3.72E+07,480.67,1580,0.5,0,0.52
8.50E+06,3.74E+07,480.67,1608,0.5,0,0.52
8.14E+06,3.52E+07,480.67,1581,0.5,0,0.52
8.14E+06,3.08E+07,480.67,1553,0.5,0,0.52
8.45E+06,3.38E+07,480.67,1509,0.5,0,0.52
8.00E+06,3.51E+07,480.67,1550,0.5,0,0.52
8.20E+06,3.62E+07,480.67,1576,0.5,0,0.52
7.98E+06,3.28E+07,480.67,1547,0.5,0,0.52
7.84E+06,2.88E+07,480.67,1550,0.5,0,0.52
7.89E+06,2.89E+07,480.67,1575,0.5,0,0.52
8.05E+06,2.79E+07,480.67,1542,0.5,0,0.52
7.75E+06,2.95E+07,480.67,1580,0.5,0,0.52
7.77E+06,2.87E+07,480.67,1566,0.5,0,0.52
7.90E+06,3.19E+07,480.67,1546,0.5,0,0.52
7.82E+06,3.34E+07,480.67,1554,0.5,0,0.52
7.72E+06,3.23E+07,480.67,1513,0.5,0,0.52
7.92E+06,3.44E+07,480.67,1547,0.5,0,0.52
7.80E+06,3.07E+07,480.67,1531,0.5,0,0.52
7.93E+06,2.89E+07,480.67,1519,0.5,0,0.52
7.82E+06,2.86E+07,480.67,1540,0.5,0,0.52
7.62E+06,2.78E+07,480.67,1550,0.5,0,0.52
7.96E+06,2.97E+07,480.67,1495,0.5,0,0.52
8.17E+06,3.39E+07,480.67,1557,0.5,0,0.52
7.85E+06,3.50E+07,480.67,1568,0.5,0,0.52
7.76E+06,3.29E+07,480.67,1539,0.5,0,0.52
7.73E+06,3.26E+07,480.67,1525,0.5,0,0.52
7.61E+06,3.10E+07,480.67,1466,0.5,0,0.52
7.44E+06,3.10E+07,480.67,1452,0.5,0,0.52
7.49E+06,2.97E+07,480.67,1516,0.5,0,0.52
7.78E+06,3.29E+07,480.67,1525,0.5,0,0.52
7.96E+06,3.40E+07,480.67,1522,0.5,0,0.52
7.96E+06,3.26E+07,480.67,1466,0.5,0,0.52
7.30E+06,2.85E+07,480.67,1458,0.5,0,0.52
7.20E+06,2.64E+07,480.67,1489,0.5,0,0.52
7.27E+06,2.86E+07,480.67,1555,0.5,0,0.52
7.60E+06,3.12E+07,480.67,1544,0.5,0,0.52
7.77E+06,3.34E+07,480.67,1562,0.5,0,0.52
7.93E+06,3.27E+07,480.67,1533,0.5,0,0.52
7.78E+06,3.06E+07,480.67,1474,0.5,0,0.52
7.38E+06,2.70E+07,480.67,1466,0.5,0,0.52
7.36E+06,2.99E+07,480.67,1445,0.5,0,0.52
7.38E+06,2.90E+07,480.67,1471,0.5,0,0.52
7.13E+06,2.70E+07,480.67,1478,0.5,0,0.52
7.14E+06,2.70E+07,480.67,1459,0.5,0,0.52
7.20E+06,2.83E+07,480.67,1475,0.5,0,0.52
7.17E+06,2.92E+07,480.67,1537,0.5,0,0.52
7.47E+06,2.73E+07,480.67,1496,0.5,0,0.52
7.38E+06,3.08E+07,480.67,1409,0.5,0,0.52
7.20E+06,3.25E+07,480.67,1415,0.5,0,0.52
6.93E+06,2.67E+07,480.67,1417,0.5,0,0.52
6.77E+06,2.37E+07,480.67,1399,0.5,0,0.52
7.22E+06,2.61E+07,480.67,1419,0.5,0,0.52
7.18E+06,2.83E+07,480.67,1558,0.5,0,0.52
7.51E+06,2.84E+07,480.67,1561,0.5,0,0.52
7.82E+06,3.21E+07,480.67,1525,0.5,0,0.52
7.63E+06,3.15E+07,480.67,1481,0.5,0,0.52
7.42E+06,2.95E+07,480.67,1452,0.5,0,0.52
7.01E+06,2.61E+07,480.67,1436,0.5,0,0.52
7.02E+06,2.61E+07,480.67,1446,0.5,0,0.52
7.04E+06,2.70E+07,480.67,1494,0.5,0,0.52
7.36E+06,2.62E+07,480.67,1489,0.5,0,0.52
7.44E+06,2.64E+07,480.67,1475,0.5,0,0.52
7.35E+06,2.64E+07,480.67,1460,0.5,0,0.52
7.19E+06,2.68E+07,480.67,1462,0.5,0,0.52
7.05E+06,2.66E+07,480.67,1485,0.5,0,0.52
7.38E+06,2.70E+07,480.67,1478,0.5,0,0.52
7.29E+06,2.68E+07,480.67,1464,0.5,0,0.52
7.31E+06,2.48E+07,480.67,1414,0.5,0,0.52
7.23E+06,2.84E+07,480.67,1453,0.5,0,0.52
7.12E+06,3.01E+07,480.67,1501,0.5,0,0.52
7.35E+06,2.84E+07,480.67,1476,0.5,0,0.52
7.42E+06,2.59E+07,480.67,1491,0.5,0,0.52
7.45E+06,2.76E+07,480.67,1477,0.5,0,0.52
7.49E+06,3.01E+07,480.67,1431,0.5,0,0.52
7.21E+06,2.60E+07,480.67,1469,0.5,0,0.52
7.12E+06,2.82E+07,480.67,1523,0.5,0,0.52
7.43E+06,2.92E+07,480.67,1470,0.5,0,0.52
7.41E+06,2.91E+07,480.67,1475,0.5,0,0.52
7.38E+06,2.87E+07,480.67,1505,0.5,0,0.52
7.27E+06,2.74E+07,480.67,1492,0.5,0,0.52
7.15E+06,2.68E+07,480.67,1467,0.5,0,0.52
7.23E+06,2.59E+07,480.67,1491,0.5,0,0.52
7.28E+06,2.57E+07,480.67,1467,0.5,0,0.52
7.44E+06,2.67E+07,480.67,1452,0.5,0,0.52
7.20E+06,2.57E+07,480.67,1481,0.5,0,0.52
7.41E+06,2.72E+07,480.67,1470,0.5,0,0.52
7.26E+06,2.97E+07,480.67,1456,0.5,0,0.52
7.20E+06,3.02E+07,480.67,1442,0.5,0,0.52
6.90E+06,2.59E+07,480.67,1721,0.5,0,0.52
1.02E+07,4.18E+07,480.67,2026,0.5,0,0.52
1.28E+07,5.91E+07,480.67,2318,0.5,0,0.52
1.50E+07,7.53E+07,480.67,2601,0.5,0,0.52
1.72E+07,9.71E+07,480.67,2762,0.5,0,0.52
1.87E+07,1.10E+08,480.67,3074,0.5,0,0.52
2.11E+07,1.28E+08,480.67,3147,0.5,0,0.52
2.29E+07,1.41E+08,480.67,3300,0.5,0,0.52
2.46E+07,1.60E+08,480.67,3260,0.5,0,0.52
2.54E+07,1.74E+08,480.67,3181,0.5,0,0.52
2.60E+07,1.78E+08,480.67,3091,0.5,0,0.52
2.70E+07,1.85E+08,480.67,3125,0.5,0,0.52
2.74E+07,1.93E+08,480.67,3175,0.5,0,0.52
2.81E+07,1.92E+08,480.67,3101,0.5,0,0.52
2.79E+07,1.88E+08,480.67,3027,0.5,0,0.52
2.80E+07,1.87E+08,480.67,3183,0.5,0,0.52
2.95E+07,1.99E+08,480.67,3174,0.5,0,0.52
2.97E+07,2.03E+08,480.67,3113,0.5,0,0.52
3.00E+07,1.99E+08,480.67,3108,0.5,0,0.52
3.06E+07,2.06E+08,480.67,3085,0.5,0,0.52
3.05E+07,2.03E+08,480.67,3075,0.5,0,0.52
3.02E+07,2.07E+08,480.67,3069,0.5,0,0.52
3.04E+07,2.12E+08,480.67,3051,0.5,0,0.52
3.04E+07,2.07E+08,480.67,3099,0.5,0,0.52
3.14E+07,2.12E+08,480.67,3060,0.5,0,0.52
3.02E+07,2.12E+08,480.67,3029,0.5,0,0.52
3.03E+07,2.02E+08,480.67,2991,0.5,0,0.52
