SumBiomass,Lp50_pop,age_mat_pop,num_pop,Finput,CVg,Gamma
1.84E+06,238.67,1.8323,2523,0.5,0,0.52
1.81E+06,238.67,1.8245,2587,0.5,0,0.52
1.77E+06,238.67,1.83,2671,0.5,0,0.52
1.77E+06,238.67,1.8565,2565,0.5,0,0.52
1.73E+06,238.67,1.8494,2556,0.5,0,0.52
1.74E+06,238.67,1.8472,2557,0.5,0,0.52
1.66E+06,238.67,1.8668,2595,0.5,0,0.52
1.73E+06,238.67,1.8789,2584,0.5,0,0.52
1.69E+06,238.67,1.8698,2579,0.5,0,0.52
1.68E+06,238.67,1.8606,2542,0.5,0,0.52
1.66E+06,238.67,1.8658,2603,0.5,0,0.52
1.72E+06,238.67,1.8848,2568,0.5,0,0.52
1.68E+06,238.67,1.8809,2575,0.5,0,0.52
1.67E+06,238.67,1.8677,2591,0.5,0,0.52
1.67E+06,238.67,1.8592,2612,0.5,0,0.52
1.66E+06,238.67,1.8595,2585,0.5,0,0.52
1.65E+06,238.67,1.8707,2583,0.5,0,0.52
1.62E+06,238.67,1.887,2595,0.5,0,0.52
1.72E+06,238.67,1.8653,2595,0.5,0,0.52
1.69E+06,238.67,1.878,2551,0.5,0,0.52
1.66E+06,238.67,1.8599,2548,0.5,0,0.52
1.61E+06,238.67,1.8773,2603,0.5,0,0.52
1.65E+06,238.67,1.88,2541,0.5,0,0.52
1.71E+06,238.67,1.8743,2508,0.5,0,0.52
1.69E+06,238.67,1.8863,2524,0.5,0,0.52
1.57E+06,238.67,1.8883,2515,0.5,0,0.52
1.64E+06,238.67,1.866,2427,0.5,0,0.52
1.64E+06,238.67,1.8645,2447,0.5,0,0.52
1.58E+06,238.67,1.8572,2486,0.5,0,0.52
1.61E+06,238.67,1.8577,2481,0.5,0,0.52
1.61E+06,238.67,1.8609,2475,0.5,0,0.52
1.59E+06,238.67,1.8567,2560,0.5,0,0.52
1.62E+06,238.67,1.8771,2588,0.5,0,0.52
1.66E+06,238.67,1.8642,2548,0.5,0,0.52
1.67E+06,238.67,1.8769,2586,0.5,0,0.52
1.69E+06,238.67,1.871,2611,0.5,0,0.52
1.66E+06,238.67,1.8824,2612,0.5,0,0.52
1.69E+06,238.67,1.8831,2605,0.5,0,0.52
1.71E+06,238.67,1.8712,2510,0.5,0,0.52
1.64E+06,238.67,1.8847,2567,0.5,0,0.52
1.65E+06,238.67,1.8812,2561,0.5,0,0.52
1.65E+06,238.67,1.8762,2615,0.5,0,0.52
1.73E+06,238.67,1.8581,2596,0.5,0,0.52
1.68E+06,238.67,1.865,2598,0.5,0,0.52
1.68E+06,238.67,1.8517,2565,0.5,0,0.52
1.63E+06,238.67,1.8648,2623,0.5,0,0.52
1.66E+06,238.67,1.8793,2587,0.5,0,0.52
1.65E+06,238.67,1.8778,2570,0.5,0,0.52
1.69E+06,238.67,1.8695,2511,0.5,0,0.52
1.65E+06,238.67,1.8462,2506,0.5,0,0.52
1.59E+06,238.67,1.8741,2504,0.5,0,0.52
1.63E+06,238.67,1.8705,2501,0.5,0,0.52
1.62E+06,238.67,1.8638,2523,0.5,0,0.52
1.63E+06,238.67,1.8865,2541,0.5,0,0.52
1.64E+06,238.67,1.8869,2606,0.5,0,0.52
1.70E+06,238.67,1.8696,2611,0.5,0,0.52
1.70E+06,238.67,1.867,2588,0.5,0,0.52
1.74E+06,238.67,1.8677,2530,0.5,0,0.52
1.69E+06,238.67,1.8702,2577,0.5,0,0.52
1.65E+06,238.67,1.8771,2545,0.5,0,0.52
1.65E+06,238.67,1.8862,2454,0.5,0,0.52
1.66E+06,238.67,1.878,2501,0.5,0,0.52
1.61E+06,238.67,1.8695,2505,0.5,0,0.52
1.61E+06,238.67,1.8626,2468,0.5,0,0.52
1.57E+06,238.67,1.8568,2491,0.5,0,0.52
1.57E+06,238.67,1.8583,2411,0.5,0,0.52
1.56E+06,238.67,1.8534,2436,0.5,0,0.52
